City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Ganzhou,CN,28.8184,115.4327,43.5,100,2.84,CN,overcast clouds
289,Wajima,JP,37.4,136.9,41.68,40,6.91,JP,scattered clouds
290,Porto Velho,BR,-8.7619,-63.9039,77.05,20,3.44,BR,few clouds
291,Neyshabur,IR,36.2133,58.7958,44.76,46,1.16,IR,scattered clouds
292,La Rioja,ES,42.25,-2.5,36.05,98,5.03,ES,overcast clouds
293,Interlaken,US,36.9513,-121.7338,70.18,0,4.61,US,clear sky
294,Bangassou,CF,4.7413,22.8184,68.67,38,3.89,CF,scattered clouds
295,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,0,3.44,AR,clear sky
296,Peruibe,BR,-24.32,-46.9983,72.73,63,5.95,BR,broken clouds
297,Eseka,CM,3.65,10.7667,71.56,36,0.51,CM,scattered clouds
298,Saint-Ambroise,CA,48.5501,-71.3324,34.11,100,13.0,CA,light snow
299,Rio Gallegos,AR,-51.6226,-69.2181,46.45,0,24.16,AR,clear sky
300,Kristiansund,NO,63.1115,7.732,30.25,100,22.97,NO,light snow
301,Linhares,BR,-19.3911,-40.0722,74.46,100,1.01,BR,overcast clouds
302,Uray,RU,60.1247,64.7758,-1.64,17,11.86,RU,few clouds
303,Atherton,GB,53.5237,-2.4935,41.43,11,5.99,GB,few clouds
304,Inhambane,MZ,-23.865,35.3833,73.72,0,6.71,MZ,clear sky
305,Lubao,PH,14.9167,120.55,86.02,63,15.26,PH,broken clouds
306,Uzventis,LT,55.7803,22.6547,32.07,100,10.67,LT,overcast clouds
307,Makarov,RU,48.6333,142.8,25.72,39,2.21,RU,scattered clouds
308,Saint Anthony,US,45.0205,-93.218,41.32,100,16.11,US,overcast clouds
309,Nufaru,RO,45.15,28.9167,36.46,7,4.61,RO,clear sky
310,Lugovoy,KZ,42.9472,72.7644,29.44,100,6.06,KZ,overcast clouds
311,Khatanga,RU,71.9667,102.5,-4.77,17,13.22,RU,few clouds
312,College,US,64.8569,-147.8028,-5.35,20,3.44,US,few clouds
313,Kuching,MY,1.55,110.3333,79.02,40,3.0,MY,scattered clouds
314,Hofn,IS,64.2539,-15.2082,28.45,13,9.69,IS,few clouds
315,Tura,IN,25.5198,90.2201,60.28,0,1.36,IN,clear sky
316,Cockburn Town,TC,21.4612,-71.1419,77.95,0,18.9,TC,clear sky
317,Maldonado,UY,-34.6667,-54.9167,69.19,4,11.21,UY,clear sky
318,Mattru,SL,7.6244,-11.8332,72.86,0,0.69,SL,clear sky
319,Menongue,AO,-14.6585,17.691,61.38,100,2.26,AO,overcast clouds
320,Sola,VU,-13.8833,167.55,81.72,100,20.11,VU,overcast clouds
321,Harper,LR,4.375,-7.7169,78.28,5,5.61,LR,clear sky
322,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,99,6.51,PT,overcast clouds
323,Salvador,SV,13.8333,-88.9167,72.05,47,2.39,SV,scattered clouds
324,Fairland,US,39.0762,-76.9577,46.81,0,0.0,US,clear sky
325,Shreveport,US,32.5251,-93.7502,55.94,0,4.61,US,clear sky
326,Vilhena,BR,-12.7406,-60.1458,68.67,99,2.73,BR,overcast clouds
327,Mahibadhoo,MV,3.7833,72.9667,81.81,70,9.66,MV,broken clouds
328,Bathsheba,BB,13.2167,-59.5167,77.61,40,18.41,BB,scattered clouds
329,Necochea,AR,-38.5473,-58.7368,65.03,100,11.3,AR,light rain
330,Verkh-Chebula,RU,56.0308,87.6218,-19.75,41,2.28,RU,scattered clouds
331,Aberdeen,GB,57.1437,-2.0981,39.81,9,11.5,GB,clear sky
332,Xai-Xai,MZ,-25.0519,33.6442,66.56,1,3.44,MZ,clear sky
333,Laukaa,RU,58.7372,29.8453,31.08,66,9.46,RU,broken clouds
334,Nantucket,US,41.2835,-70.0995,42.91,0,12.66,US,clear sky
335,Jinka,ET,5.65,36.65,70.18,84,3.27,ET,broken clouds
336,Codrington,AU,-38.2667,141.9667,66.07,100,16.04,AU,overcast clouds
337,Liwale,TZ,-9.7667,37.9333,68.61,99,2.08,TZ,overcast clouds
